timestamp = 2016-07-24 17:20:13.022545 ,xAxis = -0.704 ,yAxis = -0.704 ,zAxis = -0.028
timestamp = 2016-07-24 17:20:14.024438 ,xAxis = -0.692 ,yAxis = -0.708 ,zAxis = -0.028
timestamp = 2016-07-24 17:20:14.020861 ,xAxis = -0.704 ,yAxis = -0.732 ,zAxis = -0.148
timestamp = 2016-07-24 17:20:15.020549 ,xAxis = -0.692 ,yAxis = -0.712 ,zAxis = -0.06
timestamp = 2016-07-24 17:20:16.024447 ,xAxis = -0.684 ,yAxis = -0.728 ,zAxis = -0.056
timestamp = 2016-07-24 17:20:17.019169 ,xAxis = -0.704 ,yAxis = -0.712 ,zAxis = -0.052
timestamp = 2016-07-24 17:20:17.029435 ,xAxis = -0.692 ,yAxis = -0.716 ,zAxis = -0.056
timestamp = 2016-07-24 17:20:18.025184 ,xAxis = -0.696 ,yAxis = -0.72 ,zAxis = -0.044
timestamp = 2016-07-24 17:20:19.022598 ,xAxis = -0.684 ,yAxis = -0.728 ,zAxis = -0.036
timestamp = 2016-07-24 17:20:20.020096 ,xAxis = -0.704 ,yAxis = -0.712 ,zAxis = -0.052
timestamp = 2016-07-24 17:20:20.021929 ,xAxis = -0.7 ,yAxis = -0.724 ,zAxis = -0.06
timestamp = 2016-07-24 17:20:21.021481 ,xAxis = -0.696 ,yAxis = -0.716 ,zAxis = -0.044
timestamp = 2016-07-24 17:20:22.027073 ,xAxis = -0.692 ,yAxis = -0.724 ,zAxis = -0.06
timestamp = 2016-07-24 17:20:23.022831 ,xAxis = -0.696 ,yAxis = -0.716 ,zAxis = -0.044
timestamp = 2016-07-24 17:20:23.019541 ,xAxis = -0.688 ,yAxis = -0.716 ,zAxis = -0.052
timestamp = 2016-07-24 17:20:24.020622 ,xAxis = -0.696 ,yAxis = -0.72 ,zAxis = -0.032
timestamp = 2016-07-24 17:20:25.023649 ,xAxis = -0.688 ,yAxis = -0.732 ,zAxis = -0.072
timestamp = 2016-07-24 17:20:26.022026 ,xAxis = -0.692 ,yAxis = -0.724 ,zAxis = -0.044
timestamp = 2016-07-24 17:20:26.018633 ,xAxis = -0.692 ,yAxis = -0.72 ,zAxis = -0.056
timestamp = 2016-07-24 17:20:27.019840 ,xAxis = -0.696 ,yAxis = -0.72 ,zAxis = -0.06
timestamp = 2016-07-24 17:20:28.022619 ,xAxis = -0.692 ,yAxis = -0.724 ,zAxis = -0.048
timestamp = 2016-07-24 17:20:29.026282 ,xAxis = -0.696 ,yAxis = -0.708 ,zAxis = -0.056
timestamp = 2016-07-24 17:20:29.020534 ,xAxis = -0.696 ,yAxis = -0.7 ,zAxis = -0.052
timestamp = 2016-07-24 17:20:30.025058 ,xAxis = -0.7 ,yAxis = -0.716 ,zAxis = -0.048
timestamp = 2016-07-24 17:20:31.024686 ,xAxis = -0.672 ,yAxis = -0.716 ,zAxis = -0.056
timestamp = 2016-07-24 17:20:32.020897 ,xAxis = -0.688 ,yAxis = -0.716 ,zAxis = -0.048
timestamp = 2016-07-24 17:20:32.019561 ,xAxis = -0.692 ,yAxis = -0.728 ,zAxis = -0.076
timestamp = 2016-07-24 17:20:33.021158 ,xAxis = -0.608 ,yAxis = -0.812 ,zAxis = -0.064
timestamp = 2016-07-24 17:20:35.021430 ,xAxis = -0.708 ,yAxis = -0.732 ,zAxis = -0.072
timestamp = 2016-07-24 17:20:36.025626 ,xAxis = -0.72 ,yAxis = -0.744 ,zAxis = -0.056
timestamp = 2016-07-24 17:20:36.019825 ,xAxis = -0.736 ,yAxis = -0.744 ,zAxis = -0.012
timestamp = 2016-07-24 17:20:37.018009 ,xAxis = -0.712 ,yAxis = -0.72 ,zAxis = -0.052
timestamp = 2016-07-24 17:20:38.025448 ,xAxis = -0.72 ,yAxis = -0.708 ,zAxis = -0.016
timestamp = 2016-07-24 17:20:39.022875 ,xAxis = -0.7 ,yAxis = -0.716 ,zAxis = -0.044
timestamp = 2016-07-24 17:20:39.019524 ,xAxis = -0.7 ,yAxis = -0.712 ,zAxis = -0.044
timestamp = 2016-07-24 17:20:40.019236 ,xAxis = -0.696 ,yAxis = -0.712 ,zAxis = -0.044
timestamp = 2016-07-24 17:20:41.023457 ,xAxis = -0.696 ,yAxis = -0.712 ,zAxis = -0.064
timestamp = 2016-07-24 17:20:42.023557 ,xAxis = -0.696 ,yAxis = -0.732 ,zAxis = -0.064
timestamp = 2016-07-24 17:20:42.018933 ,xAxis = -0.704 ,yAxis = -0.712 ,zAxis = -0.036
